location,station_name,aqi,pm25,pm10,temperature,humidity,wind,timestamp
hanoi,"Hanoi, Vietnam (Hà Nội)",9,9,4,26,94,3,2026-08-07T11:03:33.704403
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,8,27,88,1,2026-08-07T11:03:34.535780
hue,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,8,27,88,1,2026-08-07T11:03:35.362715
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",91,91,,26,94,3,2026-08-07T11:03:36.130429
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",19,14,19,26.4,91.5,1,2026-08-07T11:03:36.916983
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",12,8,12,28.2,72.1,1,2026-08-07T11:03:37.757355
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",8,8,5,26,94,2.5,2026-08-07T11:03:38.574998
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,28,94,3.6,2026-08-07T11:03:39.406071
hanoi,"Hanoi, Vietnam (Hà Nội)",9,9,4,26,94,3,2026-08-07T04:14:49.098986
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,8,27,88,1,2026-08-07T04:14:49.754128
hue,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,8,27,88,1,2026-08-07T04:14:50.405465
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",91,91,,26,94,3,2026-08-07T04:14:51.071838
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",19,14,19,26.4,91.5,1,2026-08-07T04:14:51.725385
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",12,8,12,28.2,72.1,1,2026-08-07T04:14:52.378588
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",8,8,5,26,94,2.5,2026-08-07T04:14:53.045042
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,28,94,3.6,2026-08-07T04:14:53.697154
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,4,28,88,2.5,2026-08-07T06:04:23.194913
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",15,15,13,32.5,60.5,1,2026-08-07T06:04:23.810883
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",7,6,7,32,59,3,2026-08-07T06:04:24.395516
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",105,105,,29,88,4.1,2026-08-07T06:04:24.991772
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",38,30,38,27.8,93.2,1,2026-08-07T06:04:25.601020
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",10,9,10,25.8,91.4,1,2026-08-07T06:04:26.185218
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",5,5,4,28,88,2.5,2026-08-07T06:04:26.770755
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,29,79,6.6,2026-08-07T06:04:27.357709
hanoi,"Hanoi, Vietnam (Hà Nội)",12,12,5,30,83.5,5.6,2026-08-07T08:06:35.993398
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",9,9,7,33,59,2.3,2026-08-07T08:06:36.518031
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",6,5,6,32.5,57,4.1,2026-08-07T08:06:37.044568
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",106,106,,31,79,5.1,2026-08-07T08:06:37.579962
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",27,22,27,27.8,93.2,1,2026-08-07T08:06:38.127887
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",14,9,14,28.8,81.9,1,2026-08-07T08:06:38.655439
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",6,6,4,30,83.5,5.6,2026-08-07T08:06:39.181521
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,32,62,6.1,2026-08-07T08:06:39.709593
hanoi,"Hanoi, Vietnam (Hà Nội)",15,15,5,31,79,5.1,2026-08-07T09:51:04.101733
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",7,7,6,32,70,2.5,2026-08-07T09:51:04.756708
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",5,4,5,33,55,3.6,2026-08-07T09:51:05.409493
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",25,25,,31,79,5.1,2026-08-07T09:51:06.060078
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",37,29,37,27.8,93.2,1,2026-08-07T09:51:06.704811
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",17,10,17,28.8,81.9,1,2026-08-07T09:51:07.353486
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",9,9,6,31,79,5.1,2026-08-07T09:51:08.004890
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,32,66,6.6,2026-08-07T09:51:08.654756
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,31,79,4.8,2026-08-07T10:42:10.397940
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",8,8,7,32,70,2.3,2026-08-07T10:42:10.910099
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",5,5,5,33,55,2.5,2026-08-07T10:42:11.408695
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",31,31,,31,79,4.8,2026-08-07T10:42:11.910991
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",47,35,47,28.8,85.9,1,2026-08-07T10:42:12.410571
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",18,12,18,28.4,85.3,2,2026-08-07T10:42:12.918864
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",10,10,7,31,79,4.8,2026-08-07T10:42:13.417603
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,32,64,7.2,2026-08-07T10:42:13.932930
hanoi,"Hanoi, Vietnam (Hà Nội)",7,7,5,30,79,5.1,2026-08-07T11:38:05.314944
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,10,31,70,1.5,2026-08-07T11:38:05.869855
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",6,6,6,32,57,2,2026-08-07T11:38:06.425874
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",57,57,,30,79,5.1,2026-08-07T11:38:06.996033
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",52,45,52,28.8,85.9,1,2026-08-07T11:38:07.552317
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",21,16,21,28.4,85.3,2,2026-08-07T11:38:08.107615
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",9,9,6,30,79,4.8,2026-08-07T11:38:08.704454
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,30,70,6.1,2026-08-07T11:38:09.261996
hanoi,"Hanoi, Vietnam (Hà Nội)",7,7,5,30,79,5.1,2026-08-07T12:39:36.934897
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,9,31,70,1,2026-08-07T12:39:37.402318
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",6,6,5,31.5,68,1.5,2026-08-07T12:39:37.862749
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",45,45,,30,79,5.1,2026-08-07T12:39:38.311594
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,45,50,28.8,85.9,1,2026-08-07T12:39:38.755590
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",31,21,31,28.4,85.3,2,2026-08-07T12:39:39.199682
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",10,10,7,30,79,5.1,2026-08-07T12:39:39.643849
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,30,70,5.9,2026-08-07T12:39:40.089039
hanoi,"Hanoi, Vietnam (Hà Nội)",7,7,5,29,83,3.6,2026-08-07T14:05:06.269793
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",8,8,6,30,79,0.2,2026-08-07T14:05:06.835632
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",10,10,8,30,79,0.7,2026-08-07T14:05:07.391853
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",53,53,,29,83,3.6,2026-08-07T14:05:07.943525
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",44,40,44,26.5,81.6,2,2026-08-07T14:05:08.505898
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",35,23,35,28.4,85.3,2,2026-08-07T14:05:09.055950
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",12,12,8,29,83,3.6,2026-08-07T14:05:09.610177
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,30,72,5.1,2026-08-07T14:05:10.163679
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,27,85.5,1.8,2026-08-07T15:43:44.847603
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",9,9,6,30,79,0.7,2026-08-07T15:43:45.512238
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",13,13,9,29,79,0.5,2026-08-07T15:43:46.159080
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",80,80,,27,88,2,2026-08-07T15:43:46.811288
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",49,44,49,26.5,81.6,2,2026-08-07T15:43:47.458663
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",44,25,44,28.4,85.3,2,2026-08-07T15:43:48.104033
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",14,14,10,27,88,2,2026-08-07T15:43:48.749546
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,29,79,4.6,2026-08-07T15:43:49.395553
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,27,88,2.5,2026-08-07T16:41:33.681448
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",9,9,6,30,79,0.7,2026-08-07T16:41:34.265488
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",13,13,9,29.5,74,1.2,2026-08-07T16:41:34.910705
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",78,78,,27,88,2.5,2026-08-07T16:41:35.502604
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",46,42,46,26.5,81.6,2,2026-08-07T16:41:36.085951
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",34,21,34,28.4,85.3,2,2026-08-07T16:41:36.675690
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",15,15,10,27,88,2.5,2026-08-07T16:41:37.261689
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,29,79,5.1,2026-08-07T16:41:37.848057
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,27,88,1.8,2026-08-07T17:40:09.386244
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",15,15,10,29.5,76.5,0.5,2026-08-07T17:40:09.972138
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",10,10,7,29,74,1,2026-08-07T17:40:10.556958
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",53,53,,27,88,1.8,2026-08-07T17:40:11.143041
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,46,50,26.5,81.6,2,2026-08-07T17:40:11.727916
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",26,15,26,28.4,85.3,2,2026-08-07T17:40:12.313259
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",15,15,10,27,88,1.8,2026-08-07T17:40:12.911446
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,29,83,3.6,2026-08-07T17:40:13.496197
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,27,88,2.8,2026-08-07T18:39:20.703864
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",14,14,10,29,83,0.7,2026-08-07T18:39:21.351200
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",8,8,5,28.5,81,0.7,2026-08-07T18:39:21.994695
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",49,49,,27,88,2.8,2026-08-07T18:39:22.635240
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",51,47,51,26.5,81.6,2,2026-08-07T18:39:23.302857
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",20,13,20,28.4,85.3,2,2026-08-07T18:39:23.944500
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",15,15,10,26,94,2.5,2026-08-07T18:39:24.590563
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,28,94,4.1,2026-08-07T18:39:25.236749
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,26,94,1.8,2026-08-07T19:43:56.661967
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",13,13,9,29,83,0.5,2026-08-07T19:43:57.245516
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",7,7,5,28,88,1,2026-08-07T19:43:57.831829
